Date,Dernier,Ouv., Plus Haut,Plus Bas
06/01/2000,1.0324,1.0325,1.0419,1.0275
07/01/2000,1.0292,1.0327,1.0333,1.0252
10/01/2000,1.0257,1.0288,1.0303,1.0213
11/01/2000,1.0335,1.0259,1.0342,1.0241
12/01/2000,1.0312,1.0322,1.037,1.0258
13/01/2000,1.0254,1.0311,1.032,1.0237
14/01/2000,1.0128,1.0261,1.0273,1.0111
17/01/2000,1.0118,1.0128,1.0149,1.0069
18/01/2000,1.0131,1.0123,1.0143,1.0072
19/01/2000,1.0122,1.0139,1.0166,1.0086
20/01/2000,1.0175,1.0137,1.0189,1.0072
21/01/2000,1.0091,1.0173,1.0193,1.0049
24/01/2000,1.0078,1.0023,1.0078,0.9998
25/01/2000,1.0006,1.0076,1.0099,0.9989
26/01/2000,1.0012,1.0013,1.0057,0.9993
27/01/2000,0.9885,1.0019,1.003,0.9869
28/01/2000,0.975,0.988,0.9895,0.9738
31/01/2000,0.9695,0.9779,0.9829,0.967
01/02/2000,0.9724,0.9704,0.9783,0.9663
02/02/2000,0.9765,0.9717,0.9808,0.9689
03/02/2000,0.9903,0.9763,0.9949,0.9709
04/02/2000,0.9828,0.9909,0.9941,0.9748
07/02/2000,0.981,0.9836,0.9836,0.9754
08/02/2000,0.9858,0.9814,0.9916,0.9788
09/02/2000,0.994,0.9857,0.9966,0.9851
10/02/2000,0.9852,0.9942,0.996,0.983
11/02/2000,0.9869,0.9854,0.9879,0.9789
14/02/2000,0.9787,0.9863,0.9922,0.9775
15/02/2000,0.9814,0.9781,0.9863,0.9764
16/02/2000,0.9868,0.9811,0.9876,0.979
17/02/2000,0.9879,0.9865,0.9959,0.9838
18/02/2000,0.9865,0.988,0.9903,0.9807
21/02/2000,0.9874,0.9848,0.989,0.9843
22/02/2000,1.004,0.9875,1.008,0.9872
23/02/2000,1.003,1.0039,1.0091,1.0009
24/02/2000,0.9931,1.0036,1.0042,0.9889
25/02/2000,0.9745,0.9929,0.9929,0.9723
28/02/2000,0.9719,0.9748,0.9748,0.9392
29/02/2000,0.9647,0.9717,0.9865,0.9616
01/03/2000,0.9738,0.9647,0.977,0.9627
02/03/2000,0.9644,0.9734,0.9796,0.9614
03/03/2000,0.9599,0.9647,0.9679,0.9587
06/03/2000,0.9594,0.9576,0.9672,0.9557
07/03/2000,0.9598,0.959,0.9627,0.9526
08/03/2000,0.9608,0.9584,0.9634,0.9523
09/03/2000,0.9664,0.9607,0.9702,0.9595
10/03/2000,0.963,0.9667,0.9687,0.9597
13/03/2000,0.9647,0.9627,0.973,0.9617
14/03/2000,0.9683,0.9637,0.9684,0.9595
15/03/2000,0.9675,0.9685,0.9714,0.964
16/03/2000,0.9715,0.9662,0.9741,0.9646
17/03/2000,0.9724,0.9699,0.973,0.9659
20/03/2000,0.9732,0.9728,0.9748,0.9684
21/03/2000,0.9641,0.9733,0.9738,0.9633
22/03/2000,0.9612,0.9615,0.9632,0.9576
23/03/2000,0.9718,0.9607,0.9729,0.9601
24/03/2000,0.9771,0.9716,0.9778,0.9671
27/03/2000,0.9667,0.9771,0.979,0.9632
28/03/2000,0.9607,0.9672,0.9703,0.9601
29/03/2000,0.9516,0.9603,0.9605,0.9478
30/03/2000,0.9611,0.951,0.9623,0.9507
31/03/2000,0.9562,0.9612,0.9628,0.9526
03/04/2000,0.955,0.9563,0.9606,0.9503
04/04/2000,0.9604,0.9538,0.9752,0.9513
05/04/2000,0.9623,0.9614,0.9712,0.9592
06/04/2000,0.9579,0.9604,0.9645,0.9565
07/04/2000,0.9549,0.9583,0.9617,0.9536
10/04/2000,0.9627,0.9546,0.9629,0.9532
11/04/2000,0.9591,0.9625,0.9649,0.9563
12/04/2000,0.9588,0.9587,0.9602,0.952
13/04/2000,0.9525,0.9589,0.9596,0.9514
14/04/2000,0.9623,0.9528,0.9625,0.9509
17/04/2000,0.9524,0.9644,0.9673,0.9517
18/04/2000,0.9459,0.9523,0.9526,0.944
19/04/2000,0.9405,0.9452,0.949,0.9354
20/04/2000,0.9379,0.9403,0.9425,0.9348
21/04/2000,0.9383,0.9381,0.9398,0.9362
24/04/2000,0.9385,0.9383,0.9451,0.9367
25/04/2000,0.921,0.9389,0.9397,0.9162
26/04/2000,0.9238,0.9211,0.9253,0.9174
27/04/2000,0.91,0.9242,0.9252,0.9061
28/04/2000,0.9123,0.9103,0.9143,0.9029
01/05/2000,0.916,0.9121,0.9174,0.9071
02/05/2000,0.9101,0.9153,0.9178,0.9033
03/05/2000,0.8958,0.91,0.9109,0.8883
04/05/2000,0.8909,0.8956,0.8975,0.8846
05/05/2000,0.8969,0.891,0.9013,0.8901
08/05/2000,0.8975,0.8964,0.9047,0.8914
09/05/2000,0.9076,0.897,0.9081,0.8944
10/05/2000,0.9067,0.9089,0.9129,0.9047
11/05/2000,0.9016,0.9037,0.9111,0.899
12/05/2000,0.9199,0.9014,0.9201,0.8977
15/05/2000,0.9117,0.9177,0.9194,0.9111
16/05/2000,0.9004,0.9072,0.9108,0.8994
17/05/2000,0.8953,0.9006,0.9032,0.8888
18/05/2000,0.8946,0.8951,0.8975,0.8902
19/05/2000,0.8974,0.8949,0.8999,0.8845
22/05/2000,0.9029,0.8975,0.9073,0.8953
23/05/2000,0.9077,0.9026,0.9158,0.9019
24/05/2000,0.9032,0.907,0.9129,0.9026
25/05/2000,0.9127,0.9032,0.9138,0.8977
26/05/2000,0.9312,0.9129,0.9344,0.911
29/05/2000,0.9266,0.9324,0.9335,0.9235
30/05/2000,0.93,0.927,0.9412,0.9238
31/05/2000,0.9379,0.9292,0.9384,0.9257
01/06/2000,0.9315,0.9371,0.938,0.9283
02/06/2000,0.9465,0.9314,0.9506,0.9294
05/06/2000,0.948,0.9464,0.9494,0.9411
06/06/2000,0.9546,0.9466,0.9603,0.9449
07/06/2000,0.962,0.9543,0.9635,0.9533
08/06/2000,0.9562,0.9624,0.9704,0.9507
09/06/2000,0.9532,0.9546,0.9571,0.9459
12/06/2000,0.9535,0.9526,0.9563,0.9489
13/06/2000,0.9592,0.9537,0.9651,0.952
14/06/2000,0.958,0.9587,0.9657,0.9567
15/06/2000,0.9544,0.9573,0.9606,0.95
16/06/2000,0.9648,0.9545,0.966,0.9496
19/06/2000,0.9569,0.9636,0.9696,0.9562
20/06/2000,0.9545,0.9568,0.9623,0.9528
