Date,Dernier
06/01/2000,1.0324
07/01/2000,1.0292
10/01/2000,1.0257
11/01/2000,1.0335
12/01/2000,1.0312
13/01/2000,1.0254
14/01/2000,1.0128
17/01/2000,1.0118
18/01/2000,1.0131
19/01/2000,1.0122
20/01/2000,1.0175
21/01/2000,1.0091
24/01/2000,1.0078
25/01/2000,1.0006
26/01/2000,1.0012
27/01/2000,0.9885
28/01/2000,0.975
31/01/2000,0.9695
01/02/2000,0.9724
02/02/2000,0.9765
03/02/2000,0.9903
04/02/2000,0.9828
07/02/2000,0.981
08/02/2000,0.9858
09/02/2000,0.994
10/02/2000,0.9852
11/02/2000,0.9869
14/02/2000,0.9787
15/02/2000,0.9814
16/02/2000,0.9868
17/02/2000,0.9879
18/02/2000,0.9865
21/02/2000,0.9874
22/02/2000,1.004
23/02/2000,1.003
24/02/2000,0.9931
25/02/2000,0.9745
28/02/2000,0.9719
29/02/2000,0.9647
01/03/2000,0.9738
02/03/2000,0.9644
03/03/2000,0.9599
06/03/2000,0.9594
07/03/2000,0.9598
08/03/2000,0.9608
09/03/2000,0.9664
10/03/2000,0.963
13/03/2000,0.9647
14/03/2000,0.9683
15/03/2000,0.9675
16/03/2000,0.9715
17/03/2000,0.9724
20/03/2000,0.9732
21/03/2000,0.9641
22/03/2000,0.9612
23/03/2000,0.9718
24/03/2000,0.9771
27/03/2000,0.9667
28/03/2000,0.9607
29/03/2000,0.9516
30/03/2000,0.9611
31/03/2000,0.9562
03/04/2000,0.955
04/04/2000,0.9604
05/04/2000,0.9623
06/04/2000,0.9579
07/04/2000,0.9549
10/04/2000,0.9627
11/04/2000,0.9591
12/04/2000,0.9588
13/04/2000,0.9525
14/04/2000,0.9623
17/04/2000,0.9524
18/04/2000,0.9459
19/04/2000,0.9405
20/04/2000,0.9379
21/04/2000,0.9383
24/04/2000,0.9385
25/04/2000,0.921
26/04/2000,0.9238
27/04/2000,0.91
28/04/2000,0.9123
01/05/2000,0.916
02/05/2000,0.9101
03/05/2000,0.8958
04/05/2000,0.8909
05/05/2000,0.8969
08/05/2000,0.8975
09/05/2000,0.9076
10/05/2000,0.9067
11/05/2000,0.9016
12/05/2000,0.9199
15/05/2000,0.9117
16/05/2000,0.9004
17/05/2000,0.8953
18/05/2000,0.8946
19/05/2000,0.8974
22/05/2000,0.9029
23/05/2000,0.9077
24/05/2000,0.9032
25/05/2000,0.9127
26/05/2000,0.9312
29/05/2000,0.9266
30/05/2000,0.93
31/05/2000,0.9379
01/06/2000,0.9315
02/06/2000,0.9465
05/06/2000,0.948
06/06/2000,0.9546
07/06/2000,0.962
08/06/2000,0.9562
09/06/2000,0.9532
12/06/2000,0.9535
13/06/2000,0.9592
14/06/2000,0.958
15/06/2000,0.9544
16/06/2000,0.9648
19/06/2000,0.9569
20/06/2000,0.9545
21/06/2000,0.9444
22/06/2000,0.9359
23/06/2000,0.936
26/06/2000,0.937
27/06/2000,0.946
28/06/2000,0.9417
29/06/2000,0.952
30/06/2000,0.9526
03/07/2000,0.9504
04/07/2000,0.9509
05/07/2000,0.9531
06/07/2000,0.9507
07/07/2000,0.9484
10/07/2000,0.9553
11/07/2000,0.9524
12/07/2000,0.9423
13/07/2000,0.9372
14/07/2000,0.9383
17/07/2000,0.9366
18/07/2000,0.9243
19/07/2000,0.9244
20/07/2000,0.933
21/07/2000,0.937
24/07/2000,0.9338
25/07/2000,0.9384
26/07/2000,0.9433
27/07/2000,0.9319
28/07/2000,0.9234
31/07/2000,0.9263
01/08/2000,0.9142
02/08/2000,0.9133
03/08/2000,0.9068
04/08/2000,0.9081
07/08/2000,0.9076
